bidPrc,askPrc,midprice,time,ccyPair,timestamp
7.1845,7.1848,---,,USD/CNY,2025-06-10 10:32:53
8.1859,8.1865,---,,EUR/CNY,2025-06-10 10:32:53
4.9491,4.9493,---,,100JPY/CNY,2025-06-10 10:32:53
0.91543,0.91548,---,,HKD/CNY,2025-06-10 10:32:53
9.7191,9.7194,---,,GBP/CNY,2025-06-10 10:32:53
4.6764,4.6769,---,,AUD/CNY,2025-06-10 10:32:53
4.3329,4.3334,---,,NZD/CNY,2025-06-10 10:32:53
5.5803,5.5803,---,,SGD/CNY,2025-06-10 10:32:53
8.7220,8.7222,---,,CHF/CNY,2025-06-10 10:32:53
5.2398,5.2400,---,,CAD/CNY,2025-06-10 10:32:53
1.1250,1.1270,---,,CNY/MOP,2025-06-10 10:32:53
0.58600,0.58900,---,,CNY/MYR,2025-06-10 10:32:53
11.0211,11.0568,---,,CNY/RUB,2025-06-10 10:32:53
2.4700,2.4700,---,,CNY/ZAR,2025-06-10 10:32:53
189.21,189.21,---,,CNY/KRW,2025-06-10 10:32:53
0.51121,0.51121,---,,CNY/AED,2025-06-10 10:32:53
0.52201,0.52201,---,,CNY/SAR,2025-06-10 10:32:53
49.1090,49.1140,---,,CNY/HUF,2025-06-10 10:32:53
0.52180,0.52181,---,,CNY/PLN,2025-06-10 10:32:53
0.9113,0.9113,---,,CNY/DKK,2025-06-10 10:32:53
1.3383,1.3383,---,,CNY/SEK,2025-06-10 10:32:53
1.4038,1.4038,---,,CNY/NOK,2025-06-10 10:32:53
5.46874,5.46971,---,,CNY/TRY,2025-06-10 10:32:53
2.6531,2.6531,---,,CNY/MXN,2025-06-10 10:32:53
4.5571,4.5573,---,,CNY/THB,2025-06-10 10:32:53
